mean_X	mean_Y	mean_hx	mean_hy	mean_theta_x	mean_theta_y	corr	MI	mean_E	mean_mx	mean_my	std_mx	std_my	H	T
179.387974	179.240470	-0.050000	-0.050000	0.000000	0.000000	0.782852	0.617193	-0.038489	-0.526681	-0.527070	0.052089	0.052796	-0.100000	0.000000
179.298533	179.317442	-0.050000	-0.050000	0.000000	0.000000	0.782534	0.622118	-0.038495	-0.526917	-0.526867	0.051889	0.052759	-0.100000	0.000000
179.412533	179.576786	-0.050000	-0.050000	0.000000	0.000000	0.774541	0.590964	-0.038465	-0.526616	-0.526183	0.052026	0.052937	-0.100000	0.000000
179.501434	179.661733	-0.050000	-0.050000	0.000000	0.000000	0.776215	0.579915	-0.038466	-0.526381	-0.525958	0.052097	0.053007	-0.100000	0.000000
179.450541	179.736884	-0.050000	-0.050000	0.000000	0.000000	0.786163	0.621721	-0.038492	-0.526516	-0.525760	0.052119	0.052940	-0.100000	0.000000
179.407697	179.680110	-0.050000	-0.050000	0.000000	0.000000	0.782571	0.614234	-0.038499	-0.526629	-0.525910	0.052085	0.052349	-0.100000	0.000000
179.495506	179.634245	-0.050000	-0.050000	0.000000	0.000000	0.779220	0.596764	-0.038481	-0.526397	-0.526031	0.051549	0.053168	-0.100000	0.000000
179.403982	179.635125	-0.050000	-0.050000	0.000000	0.000000	0.784136	0.616874	-0.038497	-0.526639	-0.526029	0.051672	0.052956	-0.100000	0.000000
179.393829	179.456080	-0.050000	-0.050000	0.000000	0.000000	0.775906	0.592984	-0.038485	-0.526665	-0.526501	0.051516	0.052751	-0.100000	0.000000
179.535673	179.493038	-0.050000	-0.050000	0.000000	0.000000	0.774981	0.592273	-0.038485	-0.526291	-0.526404	0.051611	0.052602	-0.100000	0.000000
179.734710	179.540936	-0.050000	-0.050000	0.000000	0.000000	0.774099	0.589561	-0.038486	-0.525766	-0.526277	0.052000	0.052073	-0.100000	0.000000
179.694784	179.477598	-0.050000	-0.050000	0.000000	0.000000	0.772312	0.583388	-0.038491	-0.525871	-0.526444	0.051799	0.051840	-0.100000	0.000000
179.462794	179.626497	-0.050000	-0.050000	0.000000	0.000000	0.776159	0.598642	-0.038509	-0.526483	-0.526051	0.051445	0.051924	-0.100000	0.000000
179.633343	179.484070	-0.050000	-0.050000	0.000000	0.000000	0.784226	0.593970	-0.038528	-0.526033	-0.526427	0.051652	0.051882	-0.100000	0.000000
179.873000	179.548494	-0.050000	-0.050000	0.000000	0.000000	0.780310	0.601838	-0.038536	-0.525401	-0.526257	0.051100	0.051662	-0.100000	0.000000
179.760331	179.709097	-0.050000	-0.050000	0.000000	0.000000	0.781203	0.602235	-0.038529	-0.525698	-0.525834	0.051268	0.051893	-0.100000	0.000000
179.812263	179.737223	-0.050000	-0.050000	0.000000	0.000000	0.784434	0.607766	-0.038552	-0.525561	-0.525759	0.050924	0.051646	-0.100000	0.000000
179.863276	179.782062	-0.050000	-0.050000	0.000000	0.000000	0.788989	0.623820	-0.038536	-0.525427	-0.525641	0.051392	0.052292	-0.100000	0.000000
179.680949	179.870352	-0.050000	-0.050000	0.000000	0.000000	0.779815	0.602105	-0.038518	-0.525908	-0.525408	0.051564	0.051831	-0.100000	0.000000
179.496872	179.613442	-0.050000	-0.050000	0.000000	0.000000	0.781472	0.590576	-0.038529	-0.526393	-0.526086	0.051590	0.051537	-0.100000	0.000000
179.565624	179.734225	-0.050000	-0.050000	0.000000	0.000000	0.775937	0.583793	-0.038522	-0.526212	-0.525767	0.051489	0.051369	-0.100000	0.000000
179.619344	179.517165	-0.050000	-0.050000	0.000000	0.000000	0.776143	0.597865	-0.038513	-0.526070	-0.526340	0.051476	0.051799	-0.100000	0.000000
179.667668	179.687270	-0.050000	-0.050000	0.000000	0.000000	0.775910	0.591086	-0.038526	-0.525943	-0.525891	0.051270	0.051477	-0.100000	0.000000
179.874250	179.846209	-0.050000	-0.050000	0.000000	0.000000	0.781867	0.603013	-0.038538	-0.525398	-0.525472	0.051431	0.051398	-0.100000	0.000000
180.057493	179.750927	-0.050000	-0.050000	0.000000	0.000000	0.781004	0.596919	-0.038525	-0.524914	-0.525723	0.051649	0.051573	-0.100000	0.000000
180.100808	179.608788	-0.050000	-0.050000	0.000000	0.000000	0.786295	0.620943	-0.038547	-0.524800	-0.526098	0.051613	0.051287	-0.100000	0.000000
180.008536	179.884747	-0.050000	-0.050000	0.000000	0.000000	0.783125	0.612915	-0.038530	-0.525043	-0.525370	0.051777	0.051514	-0.100000	0.000000
180.155826	180.139203	-0.050000	-0.050000	0.000000	0.000000	0.787240	0.609349	-0.038525	-0.524655	-0.524699	0.051991	0.051932	-0.100000	0.000000
180.023804	180.220320	-0.050000	-0.050000	0.000000	0.000000	0.785047	0.610564	-0.038514	-0.525003	-0.524485	0.052075	0.052018	-0.100000	0.000000
179.711330	179.987708	-0.050000	-0.050000	0.000000	0.000000	0.779110	0.591245	-0.038490	-0.525828	-0.525098	0.051965	0.052471	-0.100000	0.000000
179.945832	179.933912	-0.050000	-0.050000	0.000000	0.000000	0.783402	0.618436	-0.038499	-0.525209	-0.525240	0.052181	0.052367	-0.100000	0.000000
179.948639	179.916501	-0.050000	-0.050000	0.000000	0.000000	0.791510	0.637431	-0.038505	-0.525201	-0.525286	0.052628	0.052572	-0.100000	0.000000
180.068028	179.970411	-0.050000	-0.050000	0.000000	0.000000	0.787401	0.627100	-0.038483	-0.524886	-0.525144	0.052647	0.052969	-0.100000	0.000000
179.892332	180.020502	-0.050000	-0.050000	0.000000	0.000000	0.788488	0.625038	-0.038494	-0.525350	-0.525012	0.052934	0.052372	-0.100000	0.000000
179.957774	179.999514	-0.050000	-0.050000	0.000000	0.000000	0.784682	0.614977	-0.038488	-0.525177	-0.525067	0.052898	0.052196	-0.100000	0.000000
179.872178	179.883040	-0.050000	-0.050000	0.000000	0.000000	0.786078	0.631910	-0.038499	-0.525403	-0.525375	0.052372	0.052469	-0.100000	0.000000
