mean_hx	mean_hy	mean_theta_x	mean_theta_y	corrtime_M	corr	MI	mean_E	mean_mx	mean_my	std_mx	std_my	H	T
0.099995	0.000892	0.039600	-0.038092	12.410605	0.783599	0.729666	-0.040026	0.541368	0.515976	0.030461	0.031757	0.099001	-0.000000
0.099995	0.000862	0.039587	-0.038080	12.694927	0.783444	0.729212	-0.040010	0.541331	0.515939	0.030435	0.031748	0.098969	-0.000000
0.099994	0.000831	0.039575	-0.038068	12.447503	0.783156	0.727947	-0.039994	0.541292	0.515908	0.030452	0.031730	0.098938	0.000000
0.099994	0.000800	0.039562	-0.038057	12.130174	0.783303	0.728854	-0.039979	0.541275	0.515858	0.030468	0.031722	0.098907	-0.000000
0.099994	0.000769	0.039550	-0.038045	12.242503	0.783203	0.728354	-0.039963	0.541258	0.515782	0.030488	0.031689	0.098876	0.000000
0.099993	0.000738	0.039538	-0.038034	11.785125	0.783133	0.727523	-0.039948	0.541211	0.515729	0.030447	0.031675	0.098844	0.000000
0.099993	0.000707	0.039525	-0.038022	11.242161	0.782851	0.726943	-0.039932	0.541178	0.515681	0.030439	0.031681	0.098813	0.000000
0.099993	0.000676	0.039512	-0.038011	10.699034	0.782713	0.726599	-0.039916	0.541140	0.515601	0.030441	0.031669	0.098782	-0.000000
0.099992	0.000645	0.039500	-0.037999	10.607433	0.782592	0.726078	-0.039900	0.541124	0.515561	0.030433	0.031661	0.098750	0.000000
0.099992	0.000615	0.039487	-0.037987	10.159398	0.782197	0.724985	-0.039884	0.541104	0.515507	0.030432	0.031665	0.098719	0.000000
0.099991	0.000584	0.039475	-0.037976	9.734196	0.782142	0.725074	-0.039868	0.541084	0.515441	0.030429	0.031660	0.098688	-0.000000
0.099991	0.000553	0.039463	-0.037964	9.424756	0.782393	0.725367	-0.039853	0.541043	0.515406	0.030417	0.031676	0.098657	0.000000
0.099991	0.000522	0.039450	-0.037953	9.413341	0.782615	0.726747	-0.039837	0.541003	0.515369	0.030439	0.031686	0.098625	0.000000
0.099990	0.000491	0.039437	-0.037941	8.946772	0.782241	0.725386	-0.039820	0.540990	0.515317	0.030439	0.031687	0.098594	-0.000000
0.099990	0.000460	0.039425	-0.037930	8.573490	0.782769	0.726503	-0.039805	0.540915	0.515217	0.030461	0.031686	0.098563	0.000000
0.099989	0.000430	0.039412	-0.037918	8.548172	0.782583	0.726052	-0.039789	0.540866	0.515163	0.030430	0.031692	0.098532	0.000000
0.099989	0.000399	0.039400	-0.037906	8.481507	0.782835	0.726532	-0.039774	0.540833	0.515119	0.030437	0.031699	0.098500	-0.000000
0.099988	0.000368	0.039388	-0.037895	8.121097	0.783143	0.727374	-0.039758	0.540800	0.515048	0.030444	0.031698	0.098469	0.000000
0.099988	0.000337	0.039375	-0.037883	7.901966	0.783124	0.728472	-0.039742	0.540753	0.514989	0.030454	0.031688	0.098438	0.000000
0.099987	0.000306	0.039362	-0.037872	7.644846	0.783080	0.728309	-0.039726	0.540743	0.514973	0.030452	0.031686	0.098406	-0.000000
0.099987	0.000276	0.039350	-0.037860	7.841922	0.782144	0.725499	-0.039710	0.540706	0.514891	0.030429	0.031672	0.098375	-0.000000
0.099986	0.000245	0.039337	-0.037849	7.798871	0.781765	0.724275	-0.039694	0.540658	0.514829	0.030424	0.031674	0.098344	0.000000
0.099986	0.000214	0.039325	-0.037837	7.454857	0.781837	0.724740	-0.039678	0.540639	0.514780	0.030437	0.031677	0.098313	0.000000
0.099985	0.000184	0.039312	-0.037825	7.283347	0.782165	0.725319	-0.039663	0.540582	0.514708	0.030453	0.031651	0.098281	0.000000
0.099985	0.000153	0.039300	-0.037814	7.113023	0.782160	0.725153	-0.039647	0.540539	0.514669	0.030438	0.031669	0.098250	-0.000000
0.099984	0.000122	0.039287	-0.037802	6.984842	0.782612	0.726267	-0.039632	0.540483	0.514599	0.030442	0.031671	0.098219	-0.000000
0.099984	0.000091	0.039275	-0.037791	7.205517	0.782893	0.727635	-0.039616	0.540451	0.514528	0.030435	0.031680	0.098188	-0.000000
0.099983	0.000061	0.039263	-0.037779	7.340454	0.782534	0.726166	-0.039600	0.540427	0.514481	0.030426	0.031684	0.098156	-0.000000
0.099982	0.000030	0.039250	-0.037768	7.399098	0.783119	0.728031	-0.039585	0.540363	0.514436	0.030419	0.031700	0.098125	-0.000000
0.099982	-0.000001	0.039237	-0.037756	7.415336	0.782960	0.727184	-0.039569	0.540311	0.514349	0.030404	0.031727	0.098094	-0.000000
0.099981	-0.000031	0.039225	-0.037744	7.328837	0.783092	0.728005	-0.039553	0.540285	0.514299	0.030429	0.031714	0.098062	0.000000
0.099981	-0.000062	0.039212	-0.037733	6.973072	0.783195	0.727928	-0.039537	0.540253	0.514255	0.030462	0.031714	0.098031	0.000000
0.099980	-0.000093	0.039200	-0.037721	6.978671	0.783012	0.726876	-0.039521	0.540230	0.514189	0.030444	0.031704	0.098000	-0.000000
0.099979	-0.000123	0.039187	-0.037710	7.082690	0.782932	0.727125	-0.039505	0.540204	0.514132	0.030440	0.031698	0.097969	-0.000000
0.099979	-0.000154	0.039175	-0.037698	6.905630	0.783088	0.726973	-0.039490	0.540162	0.514080	0.030439	0.031716	0.097937	0.000000
0.099978	-0.000184	0.039162	-0.037687	6.990811	0.782612	0.726603	-0.039474	0.540119	0.514012	0.030433	0.031710	0.097906	-0.000000
0.099977	-0.000215	0.039150	-0.037675	7.132221	0.782734	0.726337	-0.039458	0.540110	0.513941	0.030430	0.031691	0.097875	0.000000
0.099977	-0.000246	0.039137	-0.037663	6.829753	0.783121	0.727952	-0.039443	0.540042	0.513892	0.030436	0.031688	0.097844	0.000000
0.099976	-0.000276	0.039125	-0.037652	6.374123	0.783198	0.728268	-0.039427	0.539979	0.513807	0.030453	0.031712	0.097812	0.000000
0.099975	-0.000307	0.039112	-0.037640	6.509467	0.783328	0.728744	-0.039411	0.539904	0.513710	0.030457	0.031719	0.097781	0.000000
0.099975	-0.000337	0.039100	-0.037629	6.274857	0.783665	0.729401	-0.039395	0.539858	0.513649	0.030483	0.031700	0.097750	0.000000
0.099974	-0.000368	0.039087	-0.037617	6.147778	0.783315	0.728307	-0.039379	0.539799	0.513588	0.030483	0.031707	0.097718	0.000000
0.099973	-0.000398	0.039075	-0.037606	5.816267	0.783091	0.727519	-0.039363	0.539743	0.513508	0.030462	0.031714	0.097687	-0.000000
0.099973	-0.000429	0.039062	-0.037594	5.518407	0.783695	0.729424	-0.039347	0.539692	0.513444	0.030491	0.031730	0.097656	0.000000
0.099972	-0.000460	0.039050	-0.037582	5.573020	0.783322	0.728950	-0.039332	0.539673	0.513366	0.030476	0.031705	0.097625	-0.000000
0.099971	-0.000490	0.039038	-0.037571	5.518597	0.783585	0.729361	-0.039316	0.539599	0.513272	0.030496	0.031705	0.097593	-0.000000
0.099970	-0.000521	0.039025	-0.037559	5.490401	0.783205	0.728289	-0.039300	0.539570	0.513188	0.030488	0.031704	0.097562	-0.000000
0.099970	-0.000551	0.039013	-0.037548	5.471322	0.783442	0.728938	-0.039284	0.539564	0.513150	0.030498	0.031724	0.097531	0.000000
0.099969	-0.000582	0.039000	-0.037536	5.368725	0.783492	0.728738	-0.039268	0.539506	0.513092	0.030485	0.031760	0.097500	-0.000000
0.099968	-0.000612	0.038988	-0.037525	5.351258	0.783600	0.729621	-0.039253	0.539461	0.513027	0.030493	0.031727	0.097468	0.000000
0.099967	-0.000643	0.038975	-0.037513	5.552994	0.783305	0.728383	-0.039237	0.539411	0.512990	0.030483	0.031725	0.097437	-0.000000
0.099966	-0.000673	0.038963	-0.037501	5.445311	0.782671	0.726759	-0.039221	0.539355	0.512936	0.030477	0.031729	0.097406	0.000000
0.099966	-0.000704	0.038950	-0.037490	5.574690	0.783234	0.728795	-0.039205	0.539334	0.512864	0.030492	0.031753	0.097374	-0.000000
0.099965	-0.000734	0.038938	-0.037478	5.412725	0.782548	0.726627	-0.039189	0.539293	0.512820	0.030472	0.031760	0.097343	-0.000000
0.099964	-0.000764	0.038925	-0.037467	5.216432	0.782681	0.726469	-0.039173	0.539260	0.512728	0.030473	0.031767	0.097312	0.000000
0.099963	-0.000795	0.038913	-0.037455	5.115016	0.782320	0.725319	-0.039157	0.539205	0.512666	0.030468	0.031760	0.097281	-0.000000
0.099962	-0.000825	0.038900	-0.037443	5.115054	0.782647	0.726872	-0.039142	0.539152	0.512580	0.030477	0.031775	0.097249	-0.000000
0.099961	-0.000856	0.038888	-0.037432	5.113933	0.783043	0.727470	-0.039126	0.539116	0.512516	0.030495	0.031782	0.097218	-0.000000
0.099960	-0.000886	0.038875	-0.037420	5.194299	0.783782	0.729314	-0.039111	0.539065	0.512445	0.030495	0.031791	0.097187	-0.000000
0.099960	-0.000916	0.038862	-0.037409	4.914813	0.784059	0.730029	-0.039095	0.539013	0.512347	0.030505	0.031803	0.097156	0.000000
0.099959	-0.000947	0.038850	-0.037397	4.928119	0.783840	0.729909	-0.039080	0.538986	0.512307	0.030473	0.031780	0.097124	0.000000
0.099958	-0.000977	0.038838	-0.037386	4.818442	0.783572	0.729435	-0.039064	0.538937	0.512258	0.030465	0.031770	0.097093	0.000000
0.099957	-0.001008	0.038825	-0.037374	4.821934	0.784117	0.730734	-0.039048	0.538893	0.512193	0.030494	0.031785	0.097062	-0.000000
0.099956	-0.001038	0.038813	-0.037362	4.748619	0.784738	0.732280	-0.039033	0.538857	0.512135	0.030519	0.031793	0.097030	0.000000
0.099955	-0.001068	0.038800	-0.037351	4.870681	0.784457	0.731204	-0.039017	0.538819	0.512057	0.030527	0.031774	0.096999	-0.000000
0.099954	-0.001099	0.038788	-0.037339	4.914965	0.784433	0.731721	-0.039001	0.538778	0.512006	0.030555	0.031788	0.096968	0.000000
0.099953	-0.001129	0.038775	-0.037328	4.920408	0.784590	0.732240	-0.038985	0.538728	0.511952	0.030557	0.031780	0.096937	0.000000
0.099952	-0.001159	0.038763	-0.037316	4.963257	0.785351	0.734103	-0.038970	0.538678	0.511888	0.030562	0.031792	0.096905	0.000000
0.099951	-0.001190	0.038750	-0.037304	4.801615	0.785372	0.735489	-0.038955	0.538633	0.511821	0.030558	0.031759	0.096874	-0.000000
0.099950	-0.001220	0.038737	-0.037293	4.845778	0.785178	0.734636	-0.038939	0.538569	0.511716	0.030540	0.031780	0.096843	-0.000000
0.099949	-0.001250	0.038725	-0.037281	4.701887	0.785485	0.734877	-0.038923	0.538536	0.511663	0.030544	0.031816	0.096812	0.000000
0.099948	-0.001281	0.038713	-0.037270	4.620910	0.785191	0.734266	-0.038906	0.538487	0.511631	0.030559	0.031824	0.096780	0.000000
0.099947	-0.001311	0.038700	-0.037258	4.569303	0.784686	0.732895	-0.038890	0.538464	0.511546	0.030555	0.031824	0.096749	-0.000000
0.099946	-0.001341	0.038688	-0.037247	4.645623	0.783850	0.730444	-0.038874	0.538439	0.511452	0.030563	0.031809	0.096718	-0.000000
0.099945	-0.001371	0.038675	-0.037235	4.862486	0.783993	0.730944	-0.038858	0.538410	0.511401	0.030573	0.031825	0.096687	0.000000
0.099944	-0.001402	0.038662	-0.037223	4.790385	0.784290	0.732101	-0.038842	0.538351	0.511356	0.030568	0.031855	0.096655	-0.000000
0.099943	-0.001432	0.038650	-0.037212	4.730818	0.783778	0.730168	-0.038826	0.538312	0.511278	0.030568	0.031856	0.096624	0.000000
0.099942	-0.001462	0.038638	-0.037200	4.501285	0.783721	0.729874	-0.038810	0.538284	0.511197	0.030574	0.031857	0.096593	0.000000
0.099941	-0.001492	0.038625	-0.037189	4.452495	0.783467	0.729198	-0.038794	0.538220	0.511155	0.030573	0.031873	0.096561	-0.000000
0.099940	-0.001523	0.038613	-0.037177	4.256333	0.783994	0.730480	-0.038779	0.538157	0.511074	0.030562	0.031868	0.096530	0.000000
0.099939	-0.001553	0.038600	-0.037165	4.028777	0.784184	0.731463	-0.038764	0.538131	0.511021	0.030566	0.031840	0.096499	-0.000000
0.099938	-0.001583	0.038587	-0.037154	4.041052	0.784832	0.733625	-0.038749	0.538096	0.510948	0.030545	0.031869	0.096468	-0.000000
0.099937	-0.001613	0.038575	-0.037142	3.975906	0.784978	0.733828	-0.038733	0.538033	0.510872	0.030538	0.031868	0.096436	-0.000000
0.099935	-0.001643	0.038563	-0.037131	3.932842	0.784646	0.732667	-0.038717	0.538006	0.510804	0.030557	0.031835	0.096405	0.000000
0.099934	-0.001674	0.038550	-0.037119	3.927784	0.784885	0.733614	-0.038702	0.537948	0.510764	0.030576	0.031843	0.096374	-0.000000
0.099933	-0.001704	0.038538	-0.037107	3.738891	0.784220	0.731541	-0.038685	0.537940	0.510706	0.030566	0.031850	0.096343	0.000000
0.099932	-0.001734	0.038525	-0.037096	3.827829	0.784409	0.732387	-0.038670	0.537901	0.510628	0.030580	0.031849	0.096311	-0.000000
0.099931	-0.001764	0.038512	-0.037084	3.953761	0.785147	0.733692	-0.038654	0.537835	0.510548	0.030594	0.031878	0.096280	-0.000000
0.099930	-0.001794	0.038500	-0.037073	3.755781	0.784805	0.732600	-0.038638	0.537804	0.510490	0.030583	0.031880	0.096249	0.000000
0.099929	-0.001824	0.038488	-0.037061	3.738905	0.784807	0.733336	-0.038622	0.537746	0.510453	0.030608	0.031893	0.096217	-0.000000
0.099927	-0.001854	0.038475	-0.037050	3.652755	0.785912	0.735841	-0.038607	0.537683	0.510389	0.030631	0.031870	0.096186	0.000000
0.099926	-0.001884	0.038463	-0.037038	3.749825	0.785519	0.735037	-0.038591	0.537628	0.510334	0.030624	0.031906	0.096155	0.000000
0.099925	-0.001915	0.038450	-0.037026	3.535196	0.785129	0.734293	-0.038575	0.537597	0.510267	0.030624	0.031924	0.096124	-0.000000
0.099924	-0.001945	0.038437	-0.037015	3.510202	0.785093	0.733884	-0.038559	0.537561	0.510188	0.030640	0.031913	0.096092	-0.000000
0.099922	-0.001975	0.038425	-0.037003	3.446335	0.784924	0.733400	-0.038543	0.537515	0.510110	0.030641	0.031924	0.096061	-0.000000
0.099921	-0.002005	0.038412	-0.036992	3.519626	0.785022	0.733503	-0.038527	0.537464	0.510053	0.030644	0.031913	0.096030	-0.000000
0.099920	-0.002035	0.038400	-0.036980	3.560770	0.784534	0.732122	-0.038511	0.537421	0.509981	0.030652	0.031915	0.095999	-0.000000
0.099919	-0.002065	0.038388	-0.036968	3.662097	0.784533	0.732034	-0.038495	0.537357	0.509926	0.030669	0.031892	0.095967	0.000000
0.099917	-0.002095	0.038375	-0.036957	3.565197	0.784471	0.732316	-0.038480	0.537315	0.509882	0.030652	0.031896	0.095936	0.000000
0.099916	-0.002125	0.038362	-0.036945	3.673842	0.784468	0.731918	-0.038464	0.537273	0.509825	0.030654	0.031898	0.095905	0.000000
0.099915	-0.002155	0.038350	-0.036934	3.701466	0.784309	0.731972	-0.038449	0.537181	0.509696	0.030634	0.031906	0.095873	0.000000
0.099914	-0.002185	0.038337	-0.036922	3.474409	0.784370	0.732188	-0.038433	0.537158	0.509629	0.030626	0.031914	0.095842	-0.000000
0.099912	-0.002215	0.038325	-0.036910	3.342201	0.785086	0.734957	-0.038418	0.537112	0.509579	0.030644	0.031904	0.095811	-0.000000
0.099911	-0.002245	0.038313	-0.036899	3.401894	0.784780	0.732909	-0.038402	0.537043	0.509521	0.030644	0.031914	0.095780	0.000000
0.099910	-0.002275	0.038300	-0.036887	3.426984	0.784933	0.733444	-0.038386	0.537024	0.509440	0.030665	0.031897	0.095748	0.000000
0.099908	-0.002305	0.038287	-0.036876	3.337637	0.785390	0.734788	-0.038371	0.536973	0.509380	0.030657	0.031910	0.095717	-0.000000
0.099907	-0.002335	0.038275	-0.036864	3.348520	0.785450	0.735248	-0.038355	0.536913	0.509321	0.030667	0.031918	0.095686	-0.000000
0.099906	-0.002365	0.038262	-0.036852	3.308706	0.784468	0.732522	-0.038338	0.536887	0.509234	0.030664	0.031933	0.095655	-0.000000
0.099904	-0.002395	0.038250	-0.036841	3.206246	0.784430	0.732027	-0.038323	0.536821	0.509177	0.030652	0.031909	0.095623	-0.000000
0.099903	-0.002425	0.038238	-0.036829	3.213349	0.784798	0.733201	-0.038307	0.536778	0.509111	0.030670	0.031922	0.095592	0.000000
0.099902	-0.002455	0.038225	-0.036818	3.257338	0.784415	0.731538	-0.038291	0.536742	0.509037	0.030667	0.031948	0.095561	-0.000000
0.099900	-0.002485	0.038212	-0.036806	3.318954	0.784410	0.732081	-0.038275	0.536724	0.508967	0.030671	0.031955	0.095530	-0.000000
0.099899	-0.002515	0.038200	-0.036794	3.158747	0.785599	0.735709	-0.038260	0.536675	0.508885	0.030692	0.031957	0.095498	0.000000
0.099897	-0.002545	0.038187	-0.036783	3.198184	0.785617	0.735243	-0.038245	0.536637	0.508836	0.030683	0.031966	0.095467	-0.000000
0.099896	-0.002574	0.038175	-0.036771	3.186693	0.785831	0.736039	-0.038230	0.536594	0.508766	0.030672	0.031951	0.095436	-0.000000
0.099894	-0.002604	0.038163	-0.036760	3.227877	0.786129	0.736910	-0.038214	0.536547	0.508709	0.030684	0.031947	0.095404	0.000000
0.099893	-0.002634	0.038150	-0.036748	3.273159	0.786187	0.737244	-0.038198	0.536506	0.508660	0.030694	0.031964	0.095373	0.000000
0.099892	-0.002664	0.038137	-0.036736	3.187811	0.785968	0.736598	-0.038183	0.536444	0.508595	0.030689	0.031958	0.095342	-0.000000
0.099890	-0.002694	0.038125	-0.036725	3.206352	0.785797	0.736566	-0.038167	0.536376	0.508531	0.030660	0.031962	0.095311	-0.000000
0.099889	-0.002724	0.038113	-0.036713	3.202921	0.786082	0.736496	-0.038152	0.536343	0.508449	0.030696	0.031938	0.095279	0.000000
0.099887	-0.002754	0.038100	-0.036702	3.068678	0.786639	0.738853	-0.038137	0.536309	0.508391	0.030687	0.031945	0.095248	0.000000
0.099886	-0.002783	0.038087	-0.036690	2.963194	0.785703	0.736392	-0.038120	0.536246	0.508299	0.030671	0.031954	0.095217	-0.000000
0.099884	-0.002813	0.038075	-0.036678	3.003920	0.785376	0.735267	-0.038105	0.536197	0.508202	0.030672	0.031939	0.095186	0.000000
0.099883	-0.002843	0.038062	-0.036667	2.991117	0.785731	0.736344	-0.038089	0.536180	0.508138	0.030654	0.031969	0.095154	-0.000000
0.099881	-0.002873	0.038050	-0.036655	2.983900	0.785985	0.736569	-0.038074	0.536114	0.508097	0.030679	0.031951	0.095123	-0.000000
0.099880	-0.002903	0.038038	-0.036644	2.880647	0.786255	0.737637	-0.038058	0.536043	0.508041	0.030696	0.031945	0.095092	0.000000
0.099878	-0.002933	0.038025	-0.036632	2.907477	0.786146	0.737443	-0.038043	0.536016	0.508001	0.030690	0.031939	0.095060	0.000000
0.099877	-0.002962	0.038012	-0.036620	2.945709	0.786192	0.737389	-0.038026	0.535980	0.507936	0.030703	0.031975	0.095029	-0.000000
0.099875	-0.002992	0.038000	-0.036609	2.885552	0.786079	0.736859	-0.038011	0.535912	0.507854	0.030688	0.031978	0.094998	0.000000
0.099873	-0.003022	0.037987	-0.036597	2.789441	0.785791	0.736686	-0.037995	0.535874	0.507785	0.030682	0.031968	0.094967	0.000000
0.099872	-0.003052	0.037975	-0.036586	2.766051	0.785983	0.736295	-0.037980	0.535811	0.507706	0.030674	0.031973	0.094935	-0.000000
0.099870	-0.003081	0.037962	-0.036574	2.669680	0.786049	0.737464	-0.037964	0.535769	0.507638	0.030680	0.031969	0.094904	0.000000
0.099869	-0.003111	0.037950	-0.036562	2.570091	0.785889	0.736576	-0.037948	0.535747	0.507586	0.030685	0.031963	0.094873	-0.000000
0.099867	-0.003141	0.037937	-0.036551	2.569232	0.785530	0.734746	-0.037933	0.535693	0.507524	0.030676	0.031968	0.094842	0.000000
0.099865	-0.003171	0.037925	-0.036539	2.588847	0.785790	0.735285	-0.037917	0.535655	0.507420	0.030666	0.031964	0.094810	0.000000
0.099864	-0.003200	0.037912	-0.036528	2.616539	0.786090	0.737158	-0.037901	0.535592	0.507370	0.030740	0.031994	0.094779	0.000000
0.099862	-0.003230	0.037900	-0.036516	2.492513	0.785498	0.735748	-0.037884	0.535538	0.507280	0.030746	0.031981	0.094748	-0.000000
0.099861	-0.003260	0.037888	-0.036504	2.510620	0.785808	0.735454	-0.037869	0.535480	0.507237	0.030746	0.031986	0.094716	0.000000
