nc	hx	hy	theta_x	theta_y	gx	gy	BURNIN	MAX_ITER	simulation_type	simulation_method	store_arrays	mx	my	varmx	varmy	MI	file
1000	-0.027500000000000004	-0.027500000000000004	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.424873217310634	-0.42488660388056687	0.004594962081284961	0.0045966146979269104	0.9258683890729316	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_018.pkl
1000	0.0049999999999999975	0.0049999999999999975	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.18141254526793726	0.18139805874300965	0.020590283087399554	0.020588845417517238	1.8583957997513778	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_044.pkl
1000	0.012499999999999997	0.012499999999999997	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.3103251846433741	0.31033127744334366	0.00875261696162913	0.00875359471525182	1.313267177754419	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_050.pkl
1000	0.018750000000000003	0.018750000000000003	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.36751374911743095	0.36750321046748424	0.006151041489848402	0.006148357240721583	1.100382875411169	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_055.pkl
1000	0.006249999999999999	0.006249999999999999	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.21189719305051402	0.21189149077054253	0.017315309128284453	0.01731419609305635	1.7391175978224638	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_045.pkl
1000	-0.013750000000000005	-0.013750000000000005	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.323532614297337	-0.3235349600123252	0.00801548093268153	0.008015306683762173	1.2595355528751107	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_029.pkl
1000	-0.0175	-0.0175	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.357554986082225	-0.3575549749372251	0.006487897475612408	0.006489326584030874	1.1324788605976845	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_026.pkl
1000	-0.023750000000000004	-0.023750000000000004	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.40241188963294056	-0.4024242570328787	0.005119665315306164	0.005122940586969431	0.990585790024685	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_021.pkl
1000	-0.025	-0.025	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.4102915828935421	-0.41029596636352017	0.004915637808202591	0.004917976610346348	0.9662268339466493	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_020.pkl
1000	-0.030000000000000002	-0.030000000000000002	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.4385918676720406	-0.4385945045420275	0.004319382059555094	0.004321220811266685	0.8893252861677183	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_016.pkl
1000	-0.0325	-0.0325	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.4515166151924169	-0.45151561812242186	0.004083671377228224	0.004084304296843882	0.8570679232442266	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_014.pkl
1000	-0.026250000000000002	-0.026250000000000002	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.41773663628631685	-0.41774140184129294	0.004744705946555477	0.004743485635424556	0.9445774067348349	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_019.pkl
1000	0.0	0.0	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.000465246672673743	0.0004588035777060213	0.03212192162568797	0.03212061690699274	2.20240604884275	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_040.pkl
1000	-0.0025000000000000022	-0.0025000000000000022	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.10191368985043152	-0.10190550281047252	0.028133121983602412	0.028129212370485185	2.092168445550282	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_038.pkl
1000	0.03	0.03	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.43872030342639845	0.4387161926514191	0.004310410405959236	0.004313200217712438	0.8887350399074059	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_064.pkl
1000	-0.018750000000000003	-0.018750000000000003	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.3676100795619495	-0.3676163065769185	0.006134110601160559	0.006132770446857612	1.0988194684915147	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_025.pkl
1000	-0.02875	-0.02875	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.4318688434956557	-0.43187177743064104	0.004446708806812705	0.004446647726329276	0.9065745724909409	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_017.pkl
1000	-0.00875	-0.00875	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.26009479543452596	-0.26010987932945057	0.012534618726607296	0.012532350084671169	1.5307773138793124	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_033.pkl
1000	0.05	0.05	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.5256316163068421	0.5256207697818963	0.0030669289140137844	0.0030670431459047832	0.6944802217142882	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_080.pkl
1000	-0.0075	-0.0075	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.238057400449713	-0.2380659508346704	0.01457033268897666	0.01457031877057103	1.626680379359911	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_034.pkl
1000	-0.035	-0.035	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.4636974268715129	-0.46367968806660154	0.003877956858911668	0.003879222966873669	0.8267519375057297	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_012.pkl
1000	0.028749999999999998	0.028749999999999998	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.4319480437302595	0.43195604435521956	0.004445106810301077	0.004443261342290556	0.9062074633531285	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_063.pkl
1000	-0.010000000000000002	-0.010000000000000002	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.27904045789479753	-0.27904144512479273	0.01087558841978549	0.010878935331551882	1.4449990336253684	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_032.pkl
1000	0.03874999999999999	0.03874999999999999	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.48069781013151125	0.4806901444915493	0.0036200381251322105	0.0036190601267679593	0.786621609527959	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_071.pkl
1000	0.024999999999999994	0.024999999999999994	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.4101966737490165	0.4102113157439435	0.004925330583769828	0.004926107691790676	0.9670557301867788	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_060.pkl
1000	0.023749999999999993	0.023749999999999993	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.4025008719774958	0.4024943847275281	0.00511271438269713	0.005113101496034535	0.9893668489796923	../AEData/Raw/Landau_nc1000_steadystate_sweeph_betaover3/out_059.pkl
