mean_hx	mean_hy	mean_theta_x	mean_theta_y	corr	MI	mean_mx	mean_my	t	H	T
0.050000	0.050000	0.000000	0.000000	-0.001974	2.235868	0.000918	0.000581	0.000000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.584480	0.442369	0.530336	0.530416	0.100000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.584893	0.443210	0.530729	0.530803	0.200000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585421	0.443697	0.530686	0.530809	0.300000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.584480	0.442327	0.530676	0.530777	0.400000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585161	0.442399	0.530732	0.530761	0.500000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585518	0.443053	0.530721	0.530789	0.600000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.584634	0.442135	0.530728	0.530734	0.700000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.584604	0.442286	0.530767	0.530729	0.800000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.584920	0.442707	0.530795	0.530664	0.900000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585072	0.442867	0.530749	0.530681	1.000000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585448	0.443107	0.530673	0.530725	1.100000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585104	0.442606	0.530667	0.530696	1.200000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585007	0.442487	0.530661	0.530743	1.300000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.584470	0.441225	0.530651	0.530775	1.400000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.584758	0.442109	0.530680	0.530775	1.500000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585511	0.442746	0.530750	0.530755	1.600000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585556	0.443157	0.530775	0.530712	1.700000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585566	0.443653	0.530795	0.530756	1.800000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585697	0.443751	0.530772	0.530781	1.900000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585040	0.443325	0.530768	0.530763	2.000000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.586107	0.444318	0.530697	0.530803	2.100000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.585766	0.444306	0.530670	0.530776	2.200000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.586542	0.445005	0.530687	0.530756	2.300000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.586862	0.445899	0.530733	0.530757	2.400000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.587050	0.445880	0.530725	0.530786	2.500000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.586497	0.444944	0.530740	0.530803	2.600000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.586597	0.444995	0.530756	0.530784	2.700000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.586958	0.445298	0.530785	0.530753	2.800000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.586446	0.444814	0.530758	0.530756	2.900000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.587123	0.445759	0.530763	0.530738	3.000000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.587326	0.445283	0.530769	0.530697	3.100000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.586585	0.444608	0.530816	0.530686	3.200000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.587283	0.446351	0.530803	0.530674	3.300000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.587999	0.446498	0.530778	0.530695	3.400000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.587355	0.446036	0.530806	0.530709	3.500000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.587764	0.446117	0.530796	0.530711	3.600000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.587236	0.445651	0.530792	0.530728	3.700000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.586903	0.444911	0.530748	0.530761	3.800000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.587235	0.445978	0.530771	0.530728	3.900000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.588052	0.447048	0.530736	0.530657	4.000000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.589203	0.448140	0.530709	0.530664	4.100000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.589055	0.447792	0.530713	0.530643	4.200000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.588841	0.447642	0.530720	0.530657	4.300000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.589407	0.448321	0.530732	0.530649	4.400000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.589182	0.447939	0.530743	0.530651	4.500000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.589636	0.448744	0.530742	0.530639	4.600000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.589870	0.449120	0.530757	0.530638	4.700000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590302	0.449113	0.530751	0.530660	4.800000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590657	0.449629	0.530753	0.530673	4.900000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590317	0.449465	0.530805	0.530689	5.000000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590629	0.449509	0.530776	0.530727	5.100000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590568	0.449471	0.530761	0.530765	5.200000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590420	0.449417	0.530754	0.530772	5.300000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.589965	0.449214	0.530736	0.530801	5.400000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590046	0.449474	0.530723	0.530804	5.500000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590041	0.449087	0.530727	0.530726	5.600000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590066	0.449691	0.530724	0.530755	5.700000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.589609	0.448627	0.530741	0.530752	5.800000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.589820	0.448609	0.530744	0.530774	5.900000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.589893	0.448568	0.530726	0.530789	6.000000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590038	0.449269	0.530771	0.530775	6.100000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.589970	0.450059	0.530801	0.530814	6.200000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590205	0.449010	0.530787	0.530810	6.300000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590279	0.449102	0.530780	0.530784	6.400000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590001	0.448823	0.530780	0.530735	6.500000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590295	0.449250	0.530775	0.530764	6.600000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590698	0.449323	0.530778	0.530778	6.700000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590375	0.449503	0.530757	0.530791	6.800000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590436	0.449588	0.530823	0.530736	6.900000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.591115	0.450175	0.530838	0.530719	7.000000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.590955	0.450404	0.530814	0.530696	7.100000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.591257	0.451250	0.530791	0.530742	7.200000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.591434	0.450829	0.530742	0.530782	7.300000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592137	0.451306	0.530734	0.530796	7.400000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.591356	0.450893	0.530710	0.530837	7.500000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.591501	0.450603	0.530720	0.530830	7.600000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.591603	0.451171	0.530740	0.530811	7.700000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592376	0.451718	0.530748	0.530794	7.800000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592963	0.452264	0.530761	0.530776	7.900000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592226	0.451669	0.530788	0.530742	8.000000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592642	0.452047	0.530775	0.530748	8.100000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592328	0.451808	0.530809	0.530739	8.200000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592631	0.452490	0.530813	0.530714	8.300000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.593122	0.452099	0.530812	0.530709	8.400000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592809	0.452373	0.530776	0.530718	8.500000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592793	0.452277	0.530740	0.530753	8.600000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592155	0.450896	0.530737	0.530752	8.700000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592873	0.451983	0.530743	0.530733	8.800000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.593080	0.453244	0.530751	0.530725	8.900000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592650	0.451739	0.530714	0.530718	9.000000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.593073	0.451836	0.530702	0.530720	9.100000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592983	0.451336	0.530712	0.530707	9.200000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.593174	0.452204	0.530731	0.530723	9.300000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.593053	0.451326	0.530722	0.530714	9.400000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.593244	0.453077	0.530749	0.530694	9.500000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592226	0.451606	0.530748	0.530686	9.600000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592253	0.451595	0.530716	0.530666	9.700000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.591562	0.450442	0.530703	0.530663	9.800000	0.100000	0.000000
0.050000	0.050000	0.000000	0.000000	0.592704	0.451689	0.530737	0.530662	9.900000	0.100000	0.000000
0.049997	0.049997	0.000000	0.000000	0.592091	0.450712	0.530742	0.530683	10.000000	0.099995	0.000000
0.049960	0.049960	0.000000	0.000000	0.591930	0.450403	0.530745	0.530678	10.100000	0.099920	0.000000
0.049920	0.049920	0.000000	0.000000	0.591308	0.450021	0.530709	0.530701	10.200000	0.099840	0.000000
0.049880	0.049880	0.000000	0.000000	0.591592	0.450104	0.530700	0.530685	10.300000	0.099760	0.000000
0.049840	0.049840	0.000000	0.000000	0.592821	0.451132	0.530728	0.530642	10.400000	0.099680	0.000000
0.049800	0.049800	0.000000	0.000000	0.592844	0.451438	0.530672	0.530642	10.500000	0.099600	0.000000
0.049760	0.049760	0.000000	0.000000	0.592922	0.452067	0.530679	0.530579	10.600000	0.099520	0.000000
0.049720	0.049720	0.000000	0.000000	0.592281	0.450044	0.530625	0.530580	10.700000	0.099440	0.000000
0.049680	0.049680	0.000000	0.000000	0.592676	0.451596	0.530604	0.530542	10.800000	0.099360	0.000000
0.049640	0.049640	0.000000	0.000000	0.592179	0.450889	0.530566	0.530504	10.900000	0.099280	0.000000
0.049600	0.049600	0.000000	0.000000	0.592265	0.451093	0.530482	0.530479	11.000000	0.099200	0.000000
0.049560	0.049560	0.000000	0.000000	0.592576	0.450810	0.530499	0.530446	11.100000	0.099120	0.000000
0.049520	0.049520	0.000000	0.000000	0.592106	0.450111	0.530477	0.530356	11.200000	0.099040	0.000000
0.049480	0.049480	0.000000	0.000000	0.592269	0.451031	0.530417	0.530336	11.300000	0.098960	0.000000
0.049440	0.049440	0.000000	0.000000	0.592981	0.451420	0.530373	0.530266	11.400000	0.098880	0.000000
0.049400	0.049400	0.000000	0.000000	0.592832	0.451625	0.530297	0.530262	11.500000	0.098800	0.000000
0.049360	0.049360	0.000000	0.000000	0.592997	0.451408	0.530246	0.530241	11.600000	0.098720	0.000000
0.049320	0.049320	0.000000	0.000000	0.593352	0.451922	0.530221	0.530206	11.700000	0.098640	0.000000
0.049280	0.049280	0.000000	0.000000	0.594241	0.452561	0.530138	0.530165	11.800000	0.098560	0.000000
0.049240	0.049240	0.000000	0.000000	0.594466	0.453196	0.530037	0.530087	11.900000	0.098480	0.000000
0.049200	0.049200	0.000000	0.000000	0.594672	0.454133	0.529944	0.530014	12.000000	0.098400	0.000000
0.049160	0.049160	0.000000	0.000000	0.595383	0.454484	0.529928	0.529968	12.100000	0.098320	0.000000
