nc	hx	hy	theta_x	theta_y	gx	gy	BURNIN	MAX_ITER	simulation_type	simulation_method	store_arrays	mx	my	MI	file
1000	-0.0012500000000000011	-0.0012500000000000011	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.08691811936040937	-0.08691105181544469	2.4363157577278702	../AEData/Raw/Landau_nc1000_steadystate_sweeph2/out_039.pkl
1000	0.036250000000000004	0.036250000000000004	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.4747313674513434	0.47473187034134046	0.7936961604312938	../AEData/Raw/Landau_nc1000_steadystate_sweeph2/out_069.pkl
1000	0.011249999999999996	0.011249999999999996	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.3150518810947406	0.31505764510471157	1.2756221853788716	../AEData/Raw/Landau_nc1000_steadystate_sweeph2/out_049.pkl
1000	0.039999999999999994	0.039999999999999994	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.49087047938564754	0.49088486702557566	0.7574969976295094	../AEData/Raw/Landau_nc1000_steadystate_sweeph2/out_072.pkl
1000	-0.0425	-0.0425	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.50110800652946	-0.5011092447194538	0.7373222990988424	../AEData/Raw/Landau_nc1000_steadystate_sweeph2/out_006.pkl
1000	0.045	0.045	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.5109253005053735	0.5109292522403539	0.7170674111824447	../AEData/Raw/Landau_nc1000_steadystate_sweeph2/out_076.pkl
1000	0.027499999999999997	0.027499999999999997	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.43199555933002215	0.4319987081650063	0.8965392507887344	../AEData/Raw/Landau_nc1000_steadystate_sweeph2/out_062.pkl
1000	0.00875	0.00875	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.2864490171427551	0.28644758423776195	1.4001326470176014	../AEData/Raw/Landau_nc1000_steadystate_sweeph2/out_047.pkl
1000	0.035	0.035	0.0	0.0	1	1	1000000	200000000	static	Landau	False	0.4691256694543713	0.46913056615434745	0.8058750636268979	../AEData/Raw/Landau_nc1000_steadystate_sweeph2/out_068.pkl
1000	-0.05	-0.05	0.0	0.0	1	1	1000000	200000000	static	Landau	False	-0.5294501991877489	-0.5294443094827784	0.6806018234592148	../AEData/Raw/Landau_nc1000_steadystate_sweeph2/out_000.pkl
