mean_X	mean_Y	mean_hx	mean_hy	mean_theta_x	mean_theta_y	corr	MI	mean_E	mean_mx	mean_my	std_mx	std_my	H	T
578.617365	578.771874	0.050000	0.050000	0.000000	0.000000	0.766247	0.571220	-0.038519	0.526695	0.527103	0.050761	0.051261	0.100000	0.000000
578.556210	578.700110	0.050000	0.050000	0.000000	0.000000	0.775892	0.601173	-0.038544	0.526534	0.526913	0.051065	0.050993	0.100000	0.000000
578.315013	578.949026	0.050000	0.050000	0.000000	0.000000	0.772135	0.588425	-0.038538	0.525897	0.527570	0.051359	0.050447	0.100000	0.000000
578.356377	578.699520	0.050000	0.050000	0.000000	0.000000	0.774778	0.592830	-0.038550	0.526006	0.526912	0.051413	0.050162	0.100000	0.000000
578.437082	578.532430	0.050000	0.050000	0.000000	0.000000	0.774934	0.595623	-0.038553	0.526219	0.526471	0.051413	0.050102	0.100000	0.000000
578.582439	578.607976	0.050000	0.050000	0.000000	0.000000	0.778608	0.598996	-0.038552	0.526603	0.526670	0.051344	0.050640	0.100000	0.000000
578.676503	578.499974	0.050000	0.050000	0.000000	0.000000	0.771818	0.593093	-0.038534	0.526851	0.526385	0.051138	0.050846	0.100000	0.000000
578.639011	578.721539	0.050000	0.050000	0.000000	0.000000	0.774666	0.591229	-0.038544	0.526752	0.526970	0.050689	0.051212	0.100000	0.000000
578.657995	578.759367	0.050000	0.050000	0.000000	0.000000	0.778277	0.599017	-0.038573	0.526802	0.527070	0.050641	0.050427	0.100000	0.000000
578.543790	578.457168	0.050000	0.050000	0.000000	0.000000	0.784260	0.623570	-0.038589	0.526501	0.526272	0.050693	0.050407	0.100000	0.000000
578.592088	578.395622	0.050000	0.050000	0.000000	0.000000	0.781422	0.624317	-0.038578	0.526628	0.526110	0.051141	0.050125	0.100000	0.000000
578.625721	578.498255	0.050000	0.050000	0.000000	0.000000	0.776393	0.607446	-0.038571	0.526717	0.526381	0.051018	0.049992	0.100000	0.000000
578.586148	578.557115	0.050000	0.050000	0.000000	0.000000	0.772722	0.578343	-0.038542	0.526613	0.526536	0.051614	0.050128	0.100000	0.000000
578.551070	578.486690	0.050000	0.050000	0.000000	0.000000	0.778790	0.618984	-0.038563	0.526520	0.526350	0.051648	0.049912	0.100000	0.000000
578.674418	578.611795	0.050000	0.050000	0.000000	0.000000	0.786836	0.614516	-0.038564	0.526845	0.526680	0.051996	0.050351	0.100000	0.000000
578.746010	578.680761	0.050000	0.050000	0.000000	0.000000	0.785442	0.621949	-0.038567	0.527034	0.526862	0.051866	0.050182	0.100000	0.000000
578.785161	578.667042	0.050000	0.050000	0.000000	0.000000	0.783599	0.619814	-0.038569	0.527138	0.526826	0.051740	0.049974	0.100000	0.000000
578.771016	578.595691	0.050000	0.050000	0.000000	0.000000	0.789022	0.634063	-0.038579	0.527100	0.526638	0.051633	0.050215	0.100000	0.000000
578.741136	578.713457	0.050000	0.050000	0.000000	0.000000	0.793156	0.648204	-0.038584	0.527021	0.526948	0.051771	0.050341	0.100000	0.000000
578.772427	578.596013	0.050000	0.050000	0.000000	0.000000	0.787080	0.621018	-0.038558	0.527104	0.526639	0.051743	0.050788	0.100000	0.000000
578.709469	578.514067	0.050000	0.050000	0.000000	0.000000	0.791618	0.632009	-0.038558	0.526938	0.526422	0.051843	0.051084	0.100000	0.000000
578.596388	578.583531	0.050000	0.050000	0.000000	0.000000	0.794536	0.659705	-0.038565	0.526640	0.526606	0.051646	0.051340	0.100000	0.000000
578.376586	578.677649	0.050000	0.050000	0.000000	0.000000	0.783201	0.623798	-0.038536	0.526060	0.526854	0.051690	0.051197	0.100000	0.000000
578.543183	578.626174	0.050000	0.050000	0.000000	0.000000	0.783833	0.636442	-0.038543	0.526499	0.526718	0.051198	0.051514	0.100000	0.000000
578.337007	578.550666	0.050000	0.050000	0.000000	0.000000	0.784961	0.597614	-0.038533	0.525955	0.526519	0.051320	0.051943	0.100000	0.000000
578.310852	578.472993	0.050000	0.050000	0.000000	0.000000	0.787869	0.629430	-0.038560	0.525886	0.526314	0.051043	0.051501	0.100000	0.000000
578.280084	578.272428	0.050000	0.050000	0.000000	0.000000	0.784395	0.616296	-0.038561	0.525805	0.525785	0.051101	0.051039	0.100000	0.000000
578.330531	578.282615	0.050000	0.050000	0.000000	0.000000	0.773343	0.581422	-0.038536	0.525938	0.525812	0.051368	0.050638	0.100000	0.000000
578.248753	577.892444	0.050000	0.050000	0.000000	0.000000	0.771575	0.581167	-0.038543	0.525722	0.524782	0.050978	0.050515	0.100000	0.000000
578.329326	577.933815	0.050000	0.050000	0.000000	0.000000	0.764910	0.563775	-0.038518	0.525935	0.524891	0.050606	0.051258	0.100000	0.000000
578.207416	578.105343	0.050000	0.050000	0.000000	0.000000	0.768297	0.563327	-0.038516	0.525613	0.525344	0.050620	0.051637	0.100000	0.000000
578.249776	578.230105	0.050000	0.050000	0.000000	0.000000	0.778047	0.587876	-0.038518	0.525725	0.525673	0.051096	0.052089	0.100000	0.000000
