mean_hx	mean_hy	mean_theta_x	mean_theta_y	corr	MI	mean_mx	mean_my	t	H	T
0.100000	0.000000	0.000000	0.000000	-0.001457	2.235965	0.000293	0.001020	0.000000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.585344	0.444653	0.551323	0.507562	0.100000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.585486	0.444099	0.551696	0.507938	0.200000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.585560	0.443713	0.551689	0.507941	0.300000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586199	0.445076	0.551682	0.507937	0.400000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.585978	0.444971	0.551704	0.507902	0.500000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586263	0.444734	0.551703	0.507882	0.600000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586757	0.445892	0.551702	0.507867	0.700000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586439	0.445374	0.551663	0.507914	0.800000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586293	0.445666	0.551704	0.507898	0.900000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586841	0.445248	0.551726	0.507886	1.000000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.587710	0.446238	0.551799	0.507904	1.100000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.587723	0.445838	0.551807	0.507909	1.200000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.588069	0.446481	0.551770	0.507929	1.300000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.587851	0.446297	0.551713	0.507921	1.400000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.587454	0.446121	0.551714	0.507899	1.500000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586980	0.445680	0.551733	0.507904	1.600000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586998	0.445319	0.551681	0.507954	1.700000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586910	0.445840	0.551679	0.507955	1.800000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586524	0.444846	0.551692	0.507968	1.900000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586528	0.444980	0.551686	0.507975	2.000000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586191	0.444137	0.551733	0.507939	2.100000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586302	0.444248	0.551756	0.507955	2.200000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586256	0.444868	0.551705	0.507967	2.300000	0.100000	0.000000
0.100000	0.000000	0.000000	0.000000	0.586444	0.445185	0.551761	0.507928	2.400000	0.100000	0.000000
